 num     #instances         #bytes  class name (module)
 123:             2             96  java.io.PrintStream (java.base@21.0.7)
 124:             2             96  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@21.0.7)
 125:             3             96  java.lang.invoke.MethodHandles$Lookup (java.base@21.0.7)
 126:             4             96  java.lang.module.ModuleDescriptor$Opens (java.base@21.0.7)
 127:             3             96  java.lang.ref.ReferenceQueue (java.base@21.0.7)
 128:             3             96  java.util.HexFormat (java.base@21.0.7)
 129:             2             96  sun.nio.cs.UTF_8$Encoder (java.base@21.0.7)
 130:             1             88  java.lang.reflect.Method (java.base@21.0.7)
 131:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@21.0.7)
 132:             5             80  [Ljava.security.Principal; (java.base@21.0.7)
 133:             1             80  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.7)
 134:             2             80  [[Ljava.lang.invoke.MethodHandle; (java.base@21.0.7)
 135:             2             80  java.io.BufferedOutputStream (java.base@21.0.7)
 136:             2             80  java.io.BufferedWriter (java.base@21.0.7)
 137:             2             80  java.lang.ModuleLayer (java.base@21.0.7)
 138:             2             80  java.lang.module.Configuration (java.base@21.0.7)
 139:             2             80  java.lang.ref.NativeReferenceQueue (java.base@21.0.7)
 140:             5             80  java.security.ProtectionDomain$Key (java.base@21.0.7)
 141:             3             72  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.7)
 142:             3             72  jdk.internal.misc.Signal (java.base@21.0.7)
 143:             2             64  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@21.0.7)
 144:             1             64  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@21.0.7)
 145:             2             64  [Ljava.nio.charset.CoderResult; (java.base@21.0.7)
 146:             2             64  java.io.FileOutputStream (java.base@21.0.7)
 147:             1             64  java.lang.Class$ReflectionData (java.base@21.0.7)
 148:             2             64  java.lang.invoke.MethodHandles$Lookup$ClassOption (java.base@21.0.7)
 149:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@21.0.7)
 150:             2             64  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@21.0.7)
 151:             2             64  jdk.internal.util.ClassFileDumper (java.base@21.0.7)
 152:             4             64  jdk.internal.util.Preconditions$4 (java.base@21.0.7)
 153:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@21.0.7)
 154:             1             56  java.util.Properties (java.base@21.0.7)
 155:             1             56  jdk.internal.org.objectweb.asm.Label (java.base@21.0.7)
 156:             2             48  [Ljava.security.ProtectionDomain; (java.base@21.0.7)
 157:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@21.0.7)
 158:             1             48  java.io.BufferedInputStream (java.base@21.0.7)
 159:             2             48  java.io.File$PathStatus (java.base@21.0.7)
 160:             2             48  java.io.OutputStreamWriter (java.base@21.0.7)
 161:             1             48  java.lang.NullPointerException (java.base@21.0.7)
 162:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@21.0.7)
 163:             1             48  java.lang.invoke.BoundMethodHandle$Species_LLJ (java.base@21.0.7)
 164:             1             48  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.7)
 165:             3             48  java.nio.charset.CodingErrorAction (java.base@21.0.7)
 166:             1             48  java.util.WeakHashMap (java.base@21.0.7)
 167:             3             48  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.7)
 168:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@21.0.7)
 169:             3             48  jdk.internal.module.ServicesCatalog (java.base@21.0.7)
 170:             1             48  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.7)
 171:             1             40  [Ljava.lang.Thread$State; (java.base@21.0.7)
 172:             1             40  [Ljava.lang.invoke.VarHandle$AccessType; (java.base@21.0.7)
 173:             1             40  [[Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.7)
 174:             1             40  java.lang.ArithmeticException (java.base@21.0.7)
 175:             1             40  java.lang.VirtualMachineError (java.base@21.0.7)
 176:             1             40  jdk.internal.event.ThreadSleepEvent (java.base@21.0.7)
 177:             1             40  jdk.internal.loader.URLClassPath (java.base@21.0.7)
 178:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@21.0.7)
 179:             2             32  [Ljava.lang.StackTraceElement; (java.base@21.0.7)
 180:             1             32  [Ljava.lang.ThreadGroup; (java.base@21.0.7)
 181:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@21.0.7)
 182:             1             32  [Ljava.lang.ref.WeakReference; (java.base@21.0.7)
 183:             1             32  [Ljdk.internal.module.ServicesCatalog; (java.base@21.0.7)
 184:             1             32  java.io.File (java.base@21.0.7)
 185:             1             32  java.io.FileInputStream (java.base@21.0.7)
 186:             2             32  java.lang.Boolean (java.base@21.0.7)
 187:             1             32  java.lang.Module$ArchivedData (java.base@21.0.7)
 188:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@21.0.7)
 189:             2             32  java.lang.ref.NativeReferenceQueue$Lock (java.base@21.0.7)
 190:             1             32  java.lang.ref.WeakReference (java.base@21.0.7)
 191:             2             32  java.nio.ByteOrder (java.base@21.0.7)
 192:             1             32  java.util.Collections$UnmodifiableMap (java.base@21.0.7)
 193:             1             32  jdk.internal.loader.ArchivedClassLoaders (java.base@21.0.7)
 194:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@21.0.7)
 195:             1             32  jdk.internal.loader.URLClassPath$FileLoader (java.base@21.0.7)
 196:             1             32  jdk.internal.module.ArchivedModuleGraph (java.base@21.0.7)
 197:             1             24  [Ljava.io.File$PathStatus; (java.base@21.0.7)
 198:             1             24  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@21.0.7)
 199:             1             24  [Ljava.lang.reflect.Method; (java.base@21.0.7)
 200:             1             24  [Ljava.net.URL; (java.base@21.0.7)
 201:             1             24  [Ljava.util.jar.Manifest; (java.base@21.0.7)
 202:             1             24  java.io.UnixFileSystem (java.base@21.0.7)
 203:             1             24  java.lang.Double (java.base@21.0.7)
 204:             1             24  java.lang.NamedPackage (java.base@21.0.7)
 205:             1             24  java.lang.RuntimePermission (java.base@21.0.7)
 206:             1             24  java.lang.StringBuilder (java.base@21.0.7)
 207:             1             24  java.security.BasicPermissionCollection (java.base@21.0.7)
 208:             1             24  java.security.Permissions (java.base@21.0.7)
 209:             1             24  java.util.ArrayDeque (java.base@21.0.7)
 210:             1             24  java.util.Collections$EmptyMap (java.base@21.0.7)
 211:             1             24  java.util.Collections$SetFromMap (java.base@21.0.7)
 212:             1             24  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@21.0.7)
 213:             1             24  jdk.internal.module.ModuleHashes (java.base@21.0.7)
 214:             1             24  jdk.internal.module.SystemModuleFinders$SystemModuleFinder (java.base@21.0.7)
 215:             1             24  jdk.internal.ref.CleanerImpl (java.base@21.0.7)
 216:             1             24  jdk.internal.reflect.ReflectionFactory$Config (java.base@21.0.7)
 217:             1             24  jdk.internal.util.ReferencedKeyMap (java.base@21.0.7)
 218:             1             24  sun.nio.cs.StandardCharsets (java.base@21.0.7)
 219:             1             24  sun.nio.cs.UTF_8 (java.base@21.0.7)
 220:             1             24  sun.security.util.LazyCodeSourcePermissionCollection (java.base@21.0.7)
 221:             1             16  [D (java.base@21.0.7)
 222:             1             16  [F (java.base@21.0.7)
 223:             1             16  [Ljava.lang.Throwable; (java.base@21.0.7)
 224:             1             16  [Ljava.security.cert.Certificate; (java.base@21.0.7)
 225:             1             16  [Z (java.base@21.0.7)
 226:             1             16  java.io.FileDescriptor$1 (java.base@21.0.7)
 227:             1             16  java.io.PrintStream$1 (java.base@21.0.7)
 228:             1             16  java.lang.CharacterDataLatin1 (java.base@21.0.7)
 229:             1             16  java.lang.Float (java.base@21.0.7)
 230:             1             16  java.lang.Runtime (java.base@21.0.7)
 231:             1             16  java.lang.String$CaseInsensitiveComparator (java.base@21.0.7)
 232:             1             16  java.lang.System$2 (java.base@21.0.7)
 233:             1             16  java.lang.Terminator$1 (java.base@21.0.7)
 234:             1             16  java.lang.invoke.ClassSpecializer$1 (java.base@21.0.7)
 235:             1             16  java.lang.invoke.MemberName$Factory (java.base@21.0.7)
 236:             1             16  java.lang.invoke.MethodHandleImpl$1 (java.base@21.0.7)
 237:             1             16  java.lang.module.ModuleDescriptor$1 (java.base@21.0.7)
 238:             1             16  java.lang.ref.Cleaner (java.base@21.0.7)
 239:             1             16  java.lang.ref.Cleaner$1 (java.base@21.0.7)
 240:             1             16  java.lang.ref.Reference$1 (java.base@21.0.7)
 241:             1             16  java.lang.reflect.ReflectAccess (java.base@21.0.7)
 242:             1             16  java.net.URI$1 (java.base@21.0.7)
 243:             1             16  java.net.URL$3 (java.base@21.0.7)
 244:             1             16  java.net.URL$DefaultFactory (java.base@21.0.7)
 245:             1             16  java.nio.Buffer$1 (java.base@21.0.7)
 246:             1             16  java.nio.Buffer$2 (java.base@21.0.7)
 247:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl (java.base@21.0.7)
 248:             1             16  java.security.SecureClassLoader$CodeSourceKey (java.base@21.0.7)
 249:             1             16  java.util.Collections$EmptyList (java.base@21.0.7)
 250:             1             16  java.util.Collections$EmptySet (java.base@21.0.7)
 251:             1             16  java.util.HashMap$EntrySet (java.base@21.0.7)
